disease_name,state,year,no_of_death,county_name
"Cerebrovascular Disease",MS,2011,6,Amite
"Cerebrovascular Disease",AK,2011,132,Anchorage
"Cerebrovascular Disease",KS,2011,13,Anderson
"Cerebrovascular Disease",KY,2011,18,Anderson
"Cerebrovascular Disease",SC,2011,186,Anderson
"Cerebrovascular Disease",TN,2011,37,Anderson
"Cerebrovascular Disease",TX,2011,31,Anderson
"Cerebrovascular Disease",MO,2011,20,Andrew
"Cerebrovascular Disease",TX,2011,6,Andrews
"Cerebrovascular Disease",ME,2011,40,Androscoggin
"Cerebrovascular Disease",TX,2011,73,Angelina
"Cerebrovascular Disease",MD,2011,485,"Anne Arundel"
"Cerebrovascular Disease",MN,2011,372,Anoka
"Cerebrovascular Disease",NC,2011,22,Anson
"Cerebrovascular Disease",NE,2011,7,Antelope
"Cerebrovascular Disease",MI,2011,21,Antrim
"Cerebrovascular Disease",AZ,2011,51,Apache
"Cerebrovascular Disease",IA,2011,4,Appanoose
"Cerebrovascular Disease",GA,2011,12,Appling
"Cerebrovascular Disease",VA,2011,7,Appomattox
"Cerebrovascular Disease",TX,2011,20,Aransas
"Cerebrovascular Disease",CO,2011,1072,Arapahoe
"Cerebrovascular Disease",TX,2011,11,Archer
"Cerebrovascular Disease",CO,2011,7,Archuleta
"Cerebrovascular Disease",MI,2011,13,Arenac
"Cerebrovascular Disease",AR,2011,39,Arkansas
"Cerebrovascular Disease",VA,2011,351,Arlington
"Cerebrovascular Disease",PA,2011,64,Armstrong
"Cerebrovascular Disease",TX,2011,0,Armstrong
"Cerebrovascular Disease",ME,2011,67,Aroostook
"Cerebrovascular Disease",NE,2011,1,Arthur
"Cerebrovascular Disease",LA,2011,40,Ascension
"Cerebrovascular Disease",NC,2011,26,Ashe
"Cerebrovascular Disease",OH,2011,22,Ashland
"Cerebrovascular Disease",WI,2011,7,Ashland
"Cerebrovascular Disease",AR,2011,20,Ashley
"Cerebrovascular Disease",OH,2011,96,Ashtabula
"Cerebrovascular Disease",WA,2011,10,Asotin
"Cerebrovascular Disease",LA,2011,27,Assumption
"Cerebrovascular Disease",TX,2011,22,Atascosa
"Cerebrovascular Disease",KS,2011,10,Atchison
"Cerebrovascular Disease",MO,2011,5,Atchison
"Cerebrovascular Disease",OH,2011,27,Athens
"Cerebrovascular Disease",GA,2011,6,Atkinson
"Cerebrovascular Disease",NJ,2011,373,Atlantic
"Cerebrovascular Disease",OK,2011,27,Atoka
"Cerebrovascular Disease",MS,2011,14,Attala
"Cerebrovascular Disease",MO,2011,21,Audrain
"Cerebrovascular Disease",IA,2011,4,Audubon
"Cerebrovascular Disease",OH,2011,80,Auglaize
"Cerebrovascular Disease",VA,2011,63,Augusta
"Cerebrovascular Disease",SD,2011,5,Aurora
"Cerebrovascular Disease",TX,2011,14,Austin
"Cerebrovascular Disease",AL,2011,82,Autauga
"Cerebrovascular Disease",NC,2011,9,Avery
"Cerebrovascular Disease",LA,2011,33,Avoyelles
"Cerebrovascular Disease",CO,2011,3,Baca
"Cerebrovascular Disease",GA,2011,7,Bacon
"Cerebrovascular Disease",TX,2011,2,Bailey
"Cerebrovascular Disease",FL,2011,18,Baker
"Cerebrovascular Disease",GA,2011,2,Baker
"Cerebrovascular Disease",OR,2011,12,Baker
"Cerebrovascular Disease",AL,2011,169,Baldwin
"Cerebrovascular Disease",GA,2011,28,Baldwin
"Cerebrovascular Disease",KY,2011,4,Ballard
"Cerebrovascular Disease",MD,2011,891,Baltimore
"Cerebrovascular Disease",MD,2011,702,"Baltimore City"
"Cerebrovascular Disease",SC,2011,15,Bamberg
"Cerebrovascular Disease",TX,2011,5,Bandera
"Cerebrovascular Disease",GA,2011,14,Banks
"Cerebrovascular Disease",NE,2011,1,Banner
"Cerebrovascular Disease",ID,2011,42,Bannock
"Cerebrovascular Disease",MI,2011,4,Baraga
"Cerebrovascular Disease",KS,2011,3,Barber
"Cerebrovascular Disease",AL,2011,22,Barbour
"Cerebrovascular Disease",WV,2011,10,Barbour
"Cerebrovascular Disease",ND,2011,8,Barnes
"Cerebrovascular Disease",MA,2011,182,Barnstable
"Cerebrovascular Disease",SC,2011,9,Barnwell
"Cerebrovascular Disease",KY,2011,30,Barren
"Cerebrovascular Disease",WI,2011,36,Barron
"Cerebrovascular Disease",GA,2011,40,Barrow
"Cerebrovascular Disease",MI,2011,32,Barry
"Cerebrovascular Disease",MO,2011,50,Barry
"Cerebrovascular Disease",IN,2011,48,Bartholomew
"Cerebrovascular Disease",KS,2011,26,Barton
"Cerebrovascular Disease",MO,2011,21,Barton
"Cerebrovascular Disease",GA,2011,43,Bartow
"Cerebrovascular Disease",TX,2011,24,Bastrop
"Cerebrovascular Disease",MO,2011,13,Bates
"Cerebrovascular Disease",KY,2011,10,Bath
"Cerebrovascular Disease",VA,2011,1,Bath
"Cerebrovascular Disease",AR,2011,11,Baxter
"Cerebrovascular Disease",FL,2011,104,Bay
"Cerebrovascular Disease",MI,2011,96,Bay
"Cerebrovascular Disease",WI,2011,10,Bayfield
"Cerebrovascular Disease",TX,2011,2,Baylor
"Cerebrovascular Disease",SD,2011,21,Beadle
"Cerebrovascular Disease",ID,2011,4,"Bear Lake"
"Cerebrovascular Disease",NC,2011,20,Beaufort
"Cerebrovascular Disease",SC,2011,56,Beaufort
"Cerebrovascular Disease",LA,2011,19,Beauregard
"Cerebrovascular Disease",OK,2011,2,Beaver
"Cerebrovascular Disease",PA,2011,115,Beaver
"Cerebrovascular Disease",UT,2011,4,Beaver
"Cerebrovascular Disease",MT,2011,4,Beaverhead
"Cerebrovascular Disease",MN,2011,22,Becker
"Cerebrovascular Disease",OK,2011,11,Beckham
"Cerebrovascular Disease",PA,2011,48,Bedford
"Cerebrovascular Disease",TN,2011,27,Bedford
"Cerebrovascular Disease",VA,2011,80,Bedford
"Cerebrovascular Disease",VA,2011,7,"Bedford City"
"Cerebrovascular Disease",TX,2011,19,Bee
"Cerebrovascular Disease",NH,2011,101,Belknap
"Cerebrovascular Disease",KY,2011,58,Bell
"Cerebrovascular Disease",TX,2011,140,Bell
"Cerebrovascular Disease",OH,2011,67,Belmont
"Cerebrovascular Disease",MN,2011,29,Beltrami
"Cerebrovascular Disease",GA,2011,8,"Ben Hill"
"Cerebrovascular Disease",ID,2011,6,Benewah
"Cerebrovascular Disease",SD,2011,2,Bennett
"Cerebrovascular Disease",VT,2011,24,Bennington
"Cerebrovascular Disease",ND,2011,5,Benson
"Cerebrovascular Disease",CO,2011,1,Bent
"Cerebrovascular Disease",AR,2011,104,Benton
"Cerebrovascular Disease",IA,2011,29,Benton
"Cerebrovascular Disease",IN,2011,8,Benton
"Cerebrovascular Disease",MN,2011,30,Benton
"Cerebrovascular Disease",MO,2011,19,Benton
"Cerebrovascular Disease",MS,2011,6,Benton
"Cerebrovascular Disease",OR,2011,29,Benton
"Cerebrovascular Disease",TN,2011,6,Benton
"Cerebrovascular Disease",WA,2011,238,Benton
"Cerebrovascular Disease",MI,2011,17,Benzie
"Cerebrovascular Disease",NJ,2011,526,Bergen
"Cerebrovascular Disease",SC,2011,101,Berkeley
"Cerebrovascular Disease",WV,2011,74,Berkeley
"Cerebrovascular Disease",PA,2011,630,Berks
"Cerebrovascular Disease",MA,2011,61,Berkshire
"Cerebrovascular Disease",NM,2011,295,Bernalillo
"Cerebrovascular Disease",GA,2011,16,Berrien
"Cerebrovascular Disease",MI,2011,205,Berrien
"Cerebrovascular Disease",NC,2011,5,Bertie
"Cerebrovascular Disease",AK,2011,12,Bethel
"Cerebrovascular Disease",TX,2011,651,Bexar
"Cerebrovascular Disease",AL,2011,32,Bibb
"Cerebrovascular Disease",GA,2011,123,Bibb
"Cerebrovascular Disease",LA,2011,36,Bienville
"Cerebrovascular Disease",MT,2011,3,"Big Horn"
"Cerebrovascular Disease",WY,2011,17,"Big Horn"
"Cerebrovascular Disease",MN,2011,6,"Big Stone"
"Cerebrovascular Disease",ND,2011,0,Billings
"Cerebrovascular Disease",ID,2011,30,Bingham
"Cerebrovascular Disease",IA,2011,60,"Black Hawk"
"Cerebrovascular Disease",IN,2011,5,Blackford
"Cerebrovascular Disease",NC,2011,34,Bladen
"Cerebrovascular Disease",ID,2011,19,Blaine
"Cerebrovascular Disease",MT,2011,3,Blaine
"Cerebrovascular Disease",NE,2011,1,Blaine
"Cerebrovascular Disease",OK,2011,16,Blaine
"Cerebrovascular Disease",PA,2011,70,Blair
"Cerebrovascular Disease",TX,2011,8,Blanco
"Cerebrovascular Disease",VA,2011,6,Bland
"Cerebrovascular Disease",GA,2011,19,Bleckley
"Cerebrovascular Disease",TN,2011,3,Bledsoe
"Cerebrovascular Disease",AL,2011,97,Blount
"Cerebrovascular Disease",TN,2011,105,Blount
"Cerebrovascular Disease",MN,2011,58,"Blue Earth"
"Cerebrovascular Disease",ID,2011,2,Boise
"Cerebrovascular Disease",MS,2011,37,Bolivar
"Cerebrovascular Disease",MO,2011,18,Bollinger
"Cerebrovascular Disease",SD,2011,6,"Bon Homme"
"Cerebrovascular Disease",IL,2011,12,Bond
"Cerebrovascular Disease",ID,2011,63,Bonner
"Cerebrovascular Disease",ID,2011,64,Bonneville
"Cerebrovascular Disease",AR,2011,44,Boone
"Cerebrovascular Disease",IA,2011,11,Boone
"Cerebrovascular Disease",IL,2011,18,Boone
"Cerebrovascular Disease",IN,2011,34,Boone
"Cerebrovascular Disease",KY,2011,63,Boone
"Cerebrovascular Disease",MO,2011,100,Boone
"Cerebrovascular Disease",NE,2011,6,Boone
"Cerebrovascular Disease",WV,2011,44,Boone
"Cerebrovascular Disease",TX,2011,0,Borden
"Cerebrovascular Disease",TX,2011,14,Bosque
"Cerebrovascular Disease",LA,2011,84,Bossier
"Cerebrovascular Disease",VA,2011,54,Botetourt
"Cerebrovascular Disease",ND,2011,4,Bottineau
"Cerebrovascular Disease",CO,2011,124,Boulder
"Cerebrovascular Disease",ID,2011,5,Boundary
"Cerebrovascular Disease",KS,2011,16,Bourbon
"Cerebrovascular Disease",KY,2011,19,Bourbon
"Cerebrovascular Disease",TX,2011,119,Bowie
"Cerebrovascular Disease",ND,2011,0,Bowman
"Cerebrovascular Disease",NE,2011,11,"Box Butte"
"Cerebrovascular Disease",UT,2011,17,"Box Elder"
"Cerebrovascular Disease",KY,2011,14,Boyd
"Cerebrovascular Disease",NE,2011,2,Boyd
"Cerebrovascular Disease",KY,2011,30,Boyle
"Cerebrovascular Disease",KY,2011,5,Bracken
"Cerebrovascular Disease",FL,2011,8,Bradford
"Cerebrovascular Disease",PA,2011,35,Bradford
"Cerebrovascular Disease",AR,2011,13,Bradley
"Cerebrovascular Disease",TN,2011,116,Bradley
"Cerebrovascular Disease",MI,2011,73,Branch
"Cerebrovascular Disease",GA,2011,12,Brantley
"Cerebrovascular Disease",WV,2011,11,Braxton
"Cerebrovascular Disease",TX,2011,86,Brazoria
"Cerebrovascular Disease",TX,2011,69,Brazos
"Cerebrovascular Disease",KY,2011,13,Breathitt
"Cerebrovascular Disease",KY,2011,14,Breckinridge
"Cerebrovascular Disease",IA,2011,25,Bremer
"Cerebrovascular Disease",FL,2011,795,Brevard
"Cerebrovascular Disease",TX,2011,6,Brewster
"Cerebrovascular Disease",TX,2011,2,Briscoe
"Cerebrovascular Disease",MA,2011,864,Bristol
"Cerebrovascular Disease",RI,2011,59,Bristol
"Cerebrovascular Disease",AK,2011,1,"Bristol Bay"
"Cerebrovascular Disease",VA,2011,23,"Bristol City"
"Cerebrovascular Disease",MT,2011,3,Broadwater
"Cerebrovascular Disease",NY,2011,773,Bronx
"Cerebrovascular Disease",WV,2011,25,Brooke
"Cerebrovascular Disease",SD,2011,24,Brookings
"Cerebrovascular Disease",GA,2011,36,Brooks
"Cerebrovascular Disease",TX,2011,6,Brooks
"Cerebrovascular Disease",NY,2011,301,Broome
"Cerebrovascular Disease",CO,2011,13,Broomfield
"Cerebrovascular Disease",FL,2011,420,Broward
"Cerebrovascular Disease",IL,2011,9,Brown
"Cerebrovascular Disease",IN,2011,10,Brown
"Cerebrovascular Disease",KS,2011,9,Brown
"Cerebrovascular Disease",MN,2011,40,Brown
"Cerebrovascular Disease",NE,2011,1,Brown
"Cerebrovascular Disease",OH,2011,32,Brown
"Cerebrovascular Disease",SD,2011,19,Brown
"Cerebrovascular Disease",TX,2011,37,Brown
"Cerebrovascular Disease",WI,2011,108,Brown
"Cerebrovascular Disease",SD,2011,4,Brule
"Cerebrovascular Disease",NC,2011,204,Brunswick
"Cerebrovascular Disease",VA,2011,12,Brunswick
"Cerebrovascular Disease",GA,2011,10,Bryan
"Cerebrovascular Disease",OK,2011,47,Bryan
"Cerebrovascular Disease",IA,2011,10,Buchanan
"Cerebrovascular Disease",MO,2011,116,Buchanan
"Cerebrovascular Disease",VA,2011,17,Buchanan
"Cerebrovascular Disease",VA,2011,5,Buckingham
"Cerebrovascular Disease",PA,2011,388,Bucks
"Cerebrovascular Disease",IA,2011,22,"Buena Vista"
"Cerebrovascular Disease",VA,2011,7,"Buena Vista City"
"Cerebrovascular Disease",NE,2011,19,Buffalo
"Cerebrovascular Disease",SD,2011,2,Buffalo
"Cerebrovascular Disease",WI,2011,17,Buffalo
"Cerebrovascular Disease",KY,2011,69,Bullitt
"Cerebrovascular Disease",GA,2011,57,Bulloch
"Cerebrovascular Disease",AL,2011,10,Bullock
"Cerebrovascular Disease",NC,2011,197,Buncombe
"Cerebrovascular Disease",IL,2011,47,Bureau
"Cerebrovascular Disease",GA,2011,17,Burke
"Cerebrovascular Disease",NC,2011,79,Burke
"Cerebrovascular Disease",ND,2011,1,Burke
"Cerebrovascular Disease",ND,2011,34,Burleigh
"Cerebrovascular Disease",TX,2011,8,Burleson
"Cerebrovascular Disease",NJ,2011,805,Burlington
"Cerebrovascular Disease",TX,2011,42,Burnet
"Cerebrovascular Disease",WI,2011,5,Burnett
"Cerebrovascular Disease",NE,2011,5,Burt
"Cerebrovascular Disease",AL,2011,38,Butler
"Cerebrovascular Disease",IA,2011,13,Butler
"Cerebrovascular Disease",KS,2011,72,Butler
"Cerebrovascular Disease",KY,2011,7,Butler
"Cerebrovascular Disease",MO,2011,45,Butler
"Cerebrovascular Disease",NE,2011,5,Butler
"Cerebrovascular Disease",OH,2011,406,Butler
"Cerebrovascular Disease",PA,2011,152,Butler
"Cerebrovascular Disease",CA,2011,307,Butte
"Cerebrovascular Disease",ID,2011,1,Butte
"Cerebrovascular Disease",SD,2011,5,Butte
"Cerebrovascular Disease",GA,2011,15,Butts
"Cerebrovascular Disease",NC,2011,101,Cabarrus
"Cerebrovascular Disease",WV,2011,47,Cabell
"Cerebrovascular Disease",UT,2011,62,Cache
"Cerebrovascular Disease",LA,2011,202,Caddo
"Cerebrovascular Disease",OK,2011,33,Caddo
"Cerebrovascular Disease",CA,2011,30,Calaveras
"Cerebrovascular Disease",LA,2011,76,Calcasieu
"Cerebrovascular Disease",KY,2011,4,Caldwell
"Cerebrovascular Disease",LA,2011,7,Caldwell
"Cerebrovascular Disease",MO,2011,5,Caldwell
"Cerebrovascular Disease",NC,2011,75,Caldwell
"Cerebrovascular Disease",TX,2011,15,Caldwell
"Cerebrovascular Disease",VT,2011,23,Caledonia
"Cerebrovascular Disease",AL,2011,93,Calhoun
"Cerebrovascular Disease",AR,2011,3,Calhoun
"Cerebrovascular Disease",FL,2011,10,Calhoun
"Cerebrovascular Disease",GA,2011,2,Calhoun
"Cerebrovascular Disease",IA,2011,4,Calhoun
"Cerebrovascular Disease",IL,2011,2,Calhoun
"Cerebrovascular Disease",MI,2011,61,Calhoun
"Cerebrovascular Disease",MS,2011,6,Calhoun
"Cerebrovascular Disease",SC,2011,9,Calhoun
"Cerebrovascular Disease",TX,2011,15,Calhoun
"Cerebrovascular Disease",WV,2011,7,Calhoun
"Cerebrovascular Disease",TX,2011,11,Callahan
"Cerebrovascular Disease",MO,2011,66,Callaway
"Cerebrovascular Disease",KY,2011,30,Calloway
"Cerebrovascular Disease",WI,2011,78,Calumet
"Cerebrovascular Disease",MD,2011,71,Calvert
"Cerebrovascular Disease",ID,2011,0,Camas
"Cerebrovascular Disease",PA,2011,122,Cambria
"Cerebrovascular Disease",GA,2011,23,Camden
"Cerebrovascular Disease",MO,2011,47,Camden
"Cerebrovascular Disease",NC,2011,7,Camden
"Cerebrovascular Disease",NJ,2011,612,Camden
"Cerebrovascular Disease",LA,2011,11,Cameron
"Cerebrovascular Disease",PA,2011,5,Cameron
"Cerebrovascular Disease",TX,2011,171,Cameron
"Cerebrovascular Disease",TX,2011,10,Camp
"Cerebrovascular Disease",KY,2011,103,Campbell
"Cerebrovascular Disease",SD,2011,0,Campbell
"Cerebrovascular Disease",TN,2011,20,Campbell
"Cerebrovascular Disease",VA,2011,30,Campbell
"Cerebrovascular Disease",WY,2011,13,Campbell
"Cerebrovascular Disease",OK,2011,60,Canadian
"Cerebrovascular Disease",GA,2011,9,Candler
"Cerebrovascular Disease",TN,2011,10,Cannon
"Cerebrovascular Disease",ID,2011,60,Canyon
"Cerebrovascular Disease",MO,2011,30,"Cape Girardeau"
"Cerebrovascular Disease",NJ,2011,60,"Cape May"
"Cerebrovascular Disease",MT,2011,10,Carbon
"Cerebrovascular Disease",PA,2011,93,Carbon
"Cerebrovascular Disease",UT,2011,17,Carbon
"Cerebrovascular Disease",WY,2011,9,Carbon
"Cerebrovascular Disease",ID,2011,4,Caribou
"Cerebrovascular Disease",KY,2011,4,Carlisle
"Cerebrovascular Disease",MN,2011,54,Carlton
"Cerebrovascular Disease",MD,2011,67,Caroline
"Cerebrovascular Disease",VA,2011,26,Caroline
"Cerebrovascular Disease",AR,2011,53,Carroll
"Cerebrovascular Disease",GA,2011,43,Carroll
"Cerebrovascular Disease",IA,2011,10,Carroll
"Cerebrovascular Disease",IL,2011,13,Carroll
"Cerebrovascular Disease",IN,2011,15,Carroll
"Cerebrovascular Disease",KY,2011,13,Carroll
"Cerebrovascular Disease",MD,2011,145,Carroll
"Cerebrovascular Disease",MO,2011,9,Carroll
"Cerebrovascular Disease",MS,2011,7,Carroll
"Cerebrovascular Disease",NH,2011,50,Carroll
"Cerebrovascular Disease",OH,2011,18,Carroll
"Cerebrovascular Disease",TN,2011,23,Carroll
"Cerebrovascular Disease",VA,2011,18,Carroll
"Cerebrovascular Disease",TX,2011,5,Carson
"Cerebrovascular Disease",NV,2011,69,"Carson City"
"Cerebrovascular Disease",KY,2011,26,Carter
"Cerebrovascular Disease",MO,2011,5,Carter
"Cerebrovascular Disease",MT,2011,1,Carter
"Cerebrovascular Disease",OK,2011,44,Carter
"Cerebrovascular Disease",TN,2011,109,Carter
"Cerebrovascular Disease",NC,2011,31,Carteret
"Cerebrovascular Disease",MN,2011,81,Carver
"Cerebrovascular Disease",MT,2011,61,Cascade
"Cerebrovascular Disease",KY,2011,14,Casey
"Cerebrovascular Disease",IA,2011,7,Cass
"Cerebrovascular Disease",IL,2011,18,Cass
"Cerebrovascular Disease",IN,2011,68,Cass
"Cerebrovascular Disease",MI,2011,23,Cass
"Cerebrovascular Disease",MN,2011,22,Cass
"Cerebrovascular Disease",MO,2011,198,Cass
"Cerebrovascular Disease",ND,2011,64,Cass
"Cerebrovascular Disease",NE,2011,42,Cass
"Cerebrovascular Disease",TX,2011,25,Cass
"Cerebrovascular Disease",ID,2011,15,Cassia
"Cerebrovascular Disease",TX,2011,1,Castro
"Cerebrovascular Disease",NC,2011,25,Caswell
"Cerebrovascular Disease",LA,2011,7,Catahoula
"Cerebrovascular Disease",NC,2011,48,Catawba
"Cerebrovascular Disease",GA,2011,23,Catoosa
"Cerebrovascular Disease",NM,2011,3,Catron
"Cerebrovascular Disease",NY,2011,118,Cattaraugus
"Cerebrovascular Disease",ND,2011,1,Cavalier
"Cerebrovascular Disease",NY,2011,128,Cayuga
"Cerebrovascular Disease",MD,2011,47,Cecil
"Cerebrovascular Disease",IA,2011,13,Cedar
"Cerebrovascular Disease",MO,2011,8,Cedar
"Cerebrovascular Disease",NE,2011,14,Cedar
"Cerebrovascular Disease",PA,2011,261,Centre
"Cerebrovascular Disease",IA,2011,44,"Cerro Gordo"
"Cerebrovascular Disease",CO,2011,16,Chaffee
"Cerebrovascular Disease",AL,2011,45,Chambers
"Cerebrovascular Disease",TX,2011,22,Chambers
"Cerebrovascular Disease",IL,2011,88,Champaign
"Cerebrovascular Disease",OH,2011,32,Champaign
"Cerebrovascular Disease",MO,2011,5,Chariton
"Cerebrovascular Disease",MD,2011,67,Charles
"Cerebrovascular Disease",VA,2011,3,"Charles City"
"Cerebrovascular Disease",SD,2011,6,"Charles Mix"
"Cerebrovascular Disease",SC,2011,301,Charleston
"Cerebrovascular Disease",MI,2011,35,Charlevoix
"Cerebrovascular Disease",FL,2011,141,Charlotte
"Cerebrovascular Disease",VA,2011,14,Charlotte
"Cerebrovascular Disease",VA,2011,16,"Charlottesville City"
"Cerebrovascular Disease",GA,2011,15,Charlton
"Cerebrovascular Disease",KS,2011,3,Chase
"Cerebrovascular Disease",NE,2011,1,Chase
"Cerebrovascular Disease",GA,2011,108,Chatham
"Cerebrovascular Disease",NC,2011,48,Chatham
"Cerebrovascular Disease",GA,2011,18,Chattahoochee
"Cerebrovascular Disease",GA,2011,52,Chattooga
"Cerebrovascular Disease",KS,2011,5,Chautauqua
"Cerebrovascular Disease",NY,2011,126,Chautauqua
"Cerebrovascular Disease",NM,2011,38,Chaves
"Cerebrovascular Disease",TN,2011,26,Cheatham
"Cerebrovascular Disease",MI,2011,21,Cheboygan
"Cerebrovascular Disease",WA,2011,117,Chelan
"Cerebrovascular Disease",NY,2011,24,Chemung
"Cerebrovascular Disease",NY,2011,41,Chenango
"Cerebrovascular Disease",AL,2011,23,Cherokee
"Cerebrovascular Disease",GA,2011,77,Cherokee
"Cerebrovascular Disease",IA,2011,8,Cherokee
"Cerebrovascular Disease",KS,2011,20,Cherokee
"Cerebrovascular Disease",NC,2011,26,Cherokee
"Cerebrovascular Disease",OK,2011,40,Cherokee
"Cerebrovascular Disease",SC,2011,19,Cherokee
"Cerebrovascular Disease",TX,2011,47,Cherokee
"Cerebrovascular Disease",NE,2011,2,Cherry
"Cerebrovascular Disease",VA,2011,114,"Chesapeake City"
"Cerebrovascular Disease",NH,2011,108,Cheshire
"Cerebrovascular Disease",PA,2011,678,Chester
"Cerebrovascular Disease",SC,2011,60,Chester
"Cerebrovascular Disease",TN,2011,26,Chester
"Cerebrovascular Disease",SC,2011,67,Chesterfield
"Cerebrovascular Disease",VA,2011,173,Chesterfield
"Cerebrovascular Disease",CO,2011,0,Cheyenne
"Cerebrovascular Disease",KS,2011,2,Cheyenne
"Cerebrovascular Disease",NE,2011,4,Cheyenne
"Cerebrovascular Disease",IA,2011,9,Chickasaw
"Cerebrovascular Disease",MS,2011,16,Chickasaw
"Cerebrovascular Disease",AR,2011,14,Chicot
"Cerebrovascular Disease",TX,2011,12,Childress
"Cerebrovascular Disease",AL,2011,20,Chilton
"Cerebrovascular Disease",MI,2011,18,Chippewa
"Cerebrovascular Disease",MN,2011,13,Chippewa
"Cerebrovascular Disease",WI,2011,20,Chippewa
"Cerebrovascular Disease",MN,2011,74,Chisago
"Cerebrovascular Disease",VT,2011,147,Chittenden
"Cerebrovascular Disease",AL,2011,9,Choctaw
"Cerebrovascular Disease",MS,2011,7,Choctaw
"Cerebrovascular Disease",OK,2011,20,Choctaw
"Cerebrovascular Disease",MT,2011,2,Chouteau
"Cerebrovascular Disease",NC,2011,11,Chowan
"Cerebrovascular Disease",IL,2011,33,Christian
"Cerebrovascular Disease",KY,2011,41,Christian
"Cerebrovascular Disease",MO,2011,36,Christian
"Cerebrovascular Disease",NV,2011,40,Churchill
"Cerebrovascular Disease",NM,2011,11,Cibola
"Cerebrovascular Disease",OK,2011,2,Cimarron
"Cerebrovascular Disease",FL,2011,198,Citrus
"Cerebrovascular Disease",OR,2011,144,Clackamas
"Cerebrovascular Disease",LA,2011,5,Claiborne
"Cerebrovascular Disease",MS,2011,8,Claiborne
"Cerebrovascular Disease",TN,2011,30,Claiborne
"Cerebrovascular Disease",WA,2011,63,Clallam
"Cerebrovascular Disease",MI,2011,34,Clare
"Cerebrovascular Disease",SC,2011,17,Clarendon
"Cerebrovascular Disease",PA,2011,30,Clarion
"Cerebrovascular Disease",AR,2011,14,Clark
"Cerebrovascular Disease",ID,2011,0,Clark
"Cerebrovascular Disease",IL,2011,21,Clark
"Cerebrovascular Disease",IN,2011,138,Clark
"Cerebrovascular Disease",KS,2011,1,Clark
"Cerebrovascular Disease",KY,2011,37,Clark
"Cerebrovascular Disease",MO,2011,5,Clark
"Cerebrovascular Disease",NV,2011,1922,Clark
"Cerebrovascular Disease",OH,2011,148,Clark
"Cerebrovascular Disease",SD,2011,4,Clark
"Cerebrovascular Disease",WA,2011,409,Clark
