@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R3,5_clustered'

@attribute Instance_number numeric
@attribute disease_name {'Cerebrovascular Disease',Cholera,'Chronic lower respiratory diseases','Diabetes mellitus','Diarrheal Diseases',HIV/AIDS,'Influenza and pneumonia',Malaria,'Malignant tumours',Tuberculosis}
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute no_of_death numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
234,'Malignant tumours',KS,12,cluster2
235,'Malignant tumours',MS,21,cluster2
236,Tuberculosis,NV,48,cluster6
237,HIV/AIDS,NC,124,cluster0
238,'Influenza and pneumonia',OR,6,cluster8
239,HIV/AIDS,MI,27,cluster0
240,'Diabetes mellitus',ND,8,cluster4
241,'Influenza and pneumonia',UT,163,cluster8
242,Cholera,NJ,591,cluster9
243,Malaria,OK,95,cluster7
244,'Malignant tumours',IL,50,cluster2
245,'Cerebrovascular Disease',NH,134,cluster3
246,'Malignant tumours',TN,115,cluster2
247,'Diarrheal Diseases',MS,10,cluster1
248,'Malignant tumours',IL,23,cluster2
249,'Diarrheal Diseases',AR,16,cluster1
250,'Malignant tumours',OH,65,cluster2
251,'Cerebrovascular Disease',OK,5,cluster3
252,'Chronic lower respiratory diseases',CO,71,cluster5
253,Tuberculosis,MI,7,cluster6
254,'Influenza and pneumonia',NE,34,cluster8
255,'Diabetes mellitus',AL,19,cluster4
256,'Cerebrovascular Disease',KS,2,cluster3
257,'Diabetes mellitus',IA,52,cluster4
258,Cholera,OK,128,cluster9
259,HIV/AIDS,SC,11,cluster0
260,'Influenza and pneumonia',KS,1,cluster8
261,Tuberculosis,IN,2,cluster6
262,'Cerebrovascular Disease',WV,53,cluster3
263,Tuberculosis,TX,3,cluster6
264,HIV/AIDS,OK,1,cluster0
265,'Chronic lower respiratory diseases',GA,38,cluster5
266,'Influenza and pneumonia',NY,1382,cluster8
267,HIV/AIDS,TX,12,cluster0
268,Tuberculosis,MO,4,cluster6
269,'Chronic lower respiratory diseases',IL,31,cluster5
270,'Diarrheal Diseases',MO,1,cluster1
271,'Influenza and pneumonia',MN,10,cluster8
272,'Influenza and pneumonia',VA,39,cluster8
273,'Cerebrovascular Disease',TN,6,cluster3
274,Tuberculosis,NY,2,cluster6
275,'Chronic lower respiratory diseases',WY,7,cluster5
276,'Cerebrovascular Disease',WA,55,cluster3
277,'Chronic lower respiratory diseases',NM,282,cluster5
278,'Chronic lower respiratory diseases',ME,29,cluster5
279,'Chronic lower respiratory diseases',AL,36,cluster5
280,HIV/AIDS,OK,9,cluster0
281,Cholera,TX,13,cluster9
282,Tuberculosis,SC,36,cluster6
283,'Diarrheal Diseases',OH,54,cluster1
284,'Influenza and pneumonia',WI,24,cluster8
285,'Cerebrovascular Disease',KY,11,cluster3
286,'Influenza and pneumonia',GA,28,cluster8
287,Malaria,TX,1,cluster7
288,'Cerebrovascular Disease',FL,6,cluster3
289,'Diabetes mellitus',NY,64,cluster4
290,'Influenza and pneumonia',AK,7,cluster8
291,HIV/AIDS,WV,20,cluster0
292,Malaria,NY,45,cluster7
293,HIV/AIDS,LA,6,cluster0
294,'Cerebrovascular Disease',WY,10,cluster3
295,'Influenza and pneumonia',MN,31,cluster8
296,'Diabetes mellitus',WA,31,cluster4
297,'Malignant tumours',PA,61,cluster2
298,'Chronic lower respiratory diseases',TX,639,cluster5
299,'Influenza and pneumonia',TX,7,cluster8
300,Tuberculosis,WI,5,cluster6
301,Cholera,SC,32,cluster9
302,Cholera,TX,6,cluster9
303,HIV/AIDS,IA,17,cluster0
304,Malaria,GA,45,cluster7
305,Tuberculosis,MS,5,cluster6
306,HIV/AIDS,TX,11,cluster0
307,Malaria,WI,31,cluster7
308,Malaria,VA,0,cluster7
309,HIV/AIDS,AK,3,cluster0
310,'Malignant tumours',GA,13,cluster2
311,Malaria,IL,6,cluster7
312,'Diabetes mellitus',WA,16,cluster4
313,Tuberculosis,LA,30,cluster6
314,'Influenza and pneumonia',MS,18,cluster8
315,Cholera,CO,28,cluster9
316,'Diarrheal Diseases',IA,7,cluster1
317,Cholera,WV,135,cluster9
318,'Malignant tumours',GA,41,cluster2
319,'Diabetes mellitus',LA,2,cluster4
320,'Cerebrovascular Disease',CT,65,cluster3
321,Tuberculosis,NC,137,cluster6
322,'Cerebrovascular Disease',UT,445,cluster3
323,Malaria,WV,51,cluster7
324,Malaria,MS,26,cluster7
325,'Diarrheal Diseases',VA,16,cluster1
326,HIV/AIDS,CO,3,cluster0
327,Tuberculosis,ID,16,cluster6
328,HIV/AIDS,CA,1208,cluster0
329,Malaria,TX,8,cluster7
330,HIV/AIDS,GA,10,cluster0
331,'Diarrheal Diseases',KY,5,cluster1
332,'Malignant tumours',WI,27,cluster2
333,'Diarrheal Diseases',GA,26,cluster1
334,'Chronic lower respiratory diseases',GA,44,cluster5
335,Malaria,OH,22,cluster7
336,'Chronic lower respiratory diseases',UT,4,cluster5
337,Malaria,WA,25,cluster7
338,'Diarrheal Diseases',LA,160,cluster1
339,Malaria,TX,55,cluster7
340,Malaria,AR,97,cluster7
341,'Chronic lower respiratory diseases',GA,18,cluster5
342,HIV/AIDS,IL,9,cluster0
343,'Diarrheal Diseases',MS,31,cluster1
344,Cholera,WA,130,cluster9
345,Malaria,TX,6,cluster7
346,'Cerebrovascular Disease',CA,577,cluster3
347,'Chronic lower respiratory diseases',KS,2,cluster5
348,'Cerebrovascular Disease',CO,1,cluster3
349,'Cerebrovascular Disease',TX,0,cluster3
350,'Diabetes mellitus',KS,5,cluster4
351,'Chronic lower respiratory diseases',OK,101,cluster5
352,HIV/AIDS,TX,30,cluster0
353,'Malignant tumours',MN,387,cluster2
354,'Influenza and pneumonia',FL,2319,cluster8
355,HIV/AIDS,WA,132,cluster0
356,Cholera,MS,22,cluster9
357,'Diabetes mellitus',TN,3,cluster4
358,'Influenza and pneumonia',WA,4,cluster8
359,'Cerebrovascular Disease',AR,8,cluster3
360,'Cerebrovascular Disease',OH,59,cluster3
361,'Malignant tumours',VA,10,cluster2
362,Tuberculosis,OK,3,cluster6
363,'Chronic lower respiratory diseases',MD,120,cluster5
364,'Cerebrovascular Disease',NJ,1516,cluster3
365,'Cerebrovascular Disease',MO,4,cluster3
366,'Malignant tumours',OH,15,cluster2
367,'Influenza and pneumonia',KS,0,cluster8
368,HIV/AIDS,FL,526,cluster0
369,Cholera,NM,4,cluster9
370,Tuberculosis,TX,80,cluster6
371,'Malignant tumours',MO,13,cluster2
372,'Cerebrovascular Disease',IN,6,cluster3
373,'Diabetes mellitus',NM,3,cluster4
374,Malaria,GA,61,cluster7
375,HIV/AIDS,GA,3,cluster0
376,Tuberculosis,SD,8,cluster6
377,'Chronic lower respiratory diseases',MI,27,cluster5
378,Malaria,MI,30,cluster7
379,'Chronic lower respiratory diseases',TX,17,cluster5
380,Malaria,ND,2,cluster7
381,'Cerebrovascular Disease',WA,69,cluster3
382,Tuberculosis,IL,3,cluster6
383,'Chronic lower respiratory diseases',MN,46,cluster5
384,'Diarrheal Diseases',WY,49,cluster1
385,'Malignant tumours',TN,12,cluster2
386,'Malignant tumours',IN,6,cluster2
387,'Malignant tumours',KS,1,cluster2
388,'Diarrheal Diseases',NY,65,cluster1
389,'Malignant tumours',TX,101,cluster2
390,HIV/AIDS,MI,41,cluster0
391,Tuberculosis,NE,1,cluster6
392,'Malignant tumours',SD,9,cluster2
393,'Influenza and pneumonia',FL,34,cluster8
394,'Diabetes mellitus',TN,9,cluster4
395,Cholera,SD,5,cluster9
396,Cholera,IL,33,cluster9
397,Tuberculosis,NC,27,cluster6
398,'Diabetes mellitus',KS,10,cluster4
399,Tuberculosis,IA,6,cluster6
400,'Chronic lower respiratory diseases',SC,67,cluster5
401,'Influenza and pneumonia',CO,20,cluster8
402,'Chronic lower respiratory diseases',AR,64,cluster5
403,Malaria,IL,21,cluster7
404,Tuberculosis,NC,73,cluster6
405,'Influenza and pneumonia',KY,112,cluster8
406,Tuberculosis,PA,224,cluster6
407,'Diabetes mellitus',KS,5,cluster4
408,'Diabetes mellitus',NV,12,cluster4
409,'Cerebrovascular Disease',KS,3,cluster3
410,'Cerebrovascular Disease',MI,69,cluster3
411,'Diabetes mellitus',MO,16,cluster4
412,'Diarrheal Diseases',NC,86,cluster1
413,'Cerebrovascular Disease',MI,224,cluster3
414,'Diarrheal Diseases',AR,25,cluster1
415,'Diabetes mellitus',SC,73,cluster4
416,'Influenza and pneumonia',NY,30,cluster8
417,'Cerebrovascular Disease',KY,114,cluster3
418,'Malignant tumours',AR,8,cluster2
419,'Diarrheal Diseases',MI,72,cluster1
420,Cholera,IL,6,cluster9
421,'Influenza and pneumonia',NE,4,cluster8
422,'Diabetes mellitus',KS,2,cluster4
423,HIV/AIDS,MS,25,cluster0
424,'Cerebrovascular Disease',KS,5,cluster3
425,HIV/AIDS,OK,83,cluster0
426,Cholera,UT,69,cluster9
427,Malaria,TX,2,cluster7
428,'Cerebrovascular Disease',KY,6,cluster3
429,HIV/AIDS,NJ,1192,cluster0
430,'Influenza and pneumonia',HI,93,cluster8
431,'Chronic lower respiratory diseases',GA,159,cluster5
432,'Diabetes mellitus',TX,73,cluster4
433,'Diabetes mellitus',GA,3,cluster4
434,Cholera,KY,44,cluster9
435,Malaria,KY,9,cluster7
436,'Diarrheal Diseases',PA,18,cluster1
437,'Diabetes mellitus',WV,10,cluster4
438,'Diarrheal Diseases',NC,14,cluster1
439,Tuberculosis,AR,22,cluster6
440,'Influenza and pneumonia',OK,122,cluster8
441,Malaria,LA,17,cluster7
442,Cholera,CO,2,cluster9
443,'Influenza and pneumonia',KS,3,cluster8
444,Tuberculosis,OH,363,cluster6
445,Cholera,TX,2,cluster9
446,HIV/AIDS,TX,16,cluster0
447,HIV/AIDS,KY,13,cluster0
448,'Chronic lower respiratory diseases',OH,6,cluster5
449,Tuberculosis,VA,20,cluster6
450,HIV/AIDS,NV,1539,cluster0
451,'Influenza and pneumonia',OH,24,cluster8
452,'Malignant tumours',VA,5,cluster2
453,'Diarrheal Diseases',NM,1,cluster1
454,'Diarrheal Diseases',KS,12,cluster1
455,Cholera,ID,76,cluster9
456,'Cerebrovascular Disease',ID,19,cluster3
457,'Diabetes mellitus',MI,19,cluster4
458,'Chronic lower respiratory diseases',KS,16,cluster5
459,'Cerebrovascular Disease',ID,2,cluster3
460,'Malignant tumours',TN,41,cluster2
461,HIV/AIDS,PA,100,cluster0
462,'Diarrheal Diseases',IL,71,cluster1
463,Tuberculosis,WI,6,cluster6
464,Tuberculosis,MS,17,cluster6
465,'Influenza and pneumonia',IL,197,cluster8
466,'Chronic lower respiratory diseases',KY,10,cluster5
467,Tuberculosis,GA,37,cluster6
468,'Cerebrovascular Disease',TX,7,cluster3
469,'Malignant tumours',SD,7,cluster2
470,'Influenza and pneumonia',KY,7,cluster8
471,Tuberculosis,CA,127,cluster6
472,HIV/AIDS,MO,43,cluster0
473,'Diarrheal Diseases',NV,46,cluster1
474,'Malignant tumours',IA,4,cluster2
475,Cholera,TX,1,cluster9
476,'Malignant tumours',MD,16,cluster2
477,HIV/AIDS,WV,5,cluster0
478,'Diarrheal Diseases',NE,5,cluster1
479,'Cerebrovascular Disease',KY,9,cluster3
480,Malaria,LA,123,cluster7
481,'Malignant tumours',MO,8,cluster2
482,'Influenza and pneumonia',KY,8,cluster8
483,'Chronic lower respiratory diseases',MN,4,cluster5
484,Cholera,GA,282,cluster9
485,'Diarrheal Diseases',VA,5,cluster1
486,HIV/AIDS,CO,22,cluster0
487,Cholera,IL,8,cluster9
488,Tuberculosis,MN,3,cluster6
489,Tuberculosis,OH,95,cluster6
490,'Influenza and pneumonia',SC,495,cluster8
491,Cholera,TX,30,cluster9
492,'Influenza and pneumonia',LA,7,cluster8
493,'Chronic lower respiratory diseases',MA,136,cluster5
494,'Cerebrovascular Disease',IA,1,cluster3
495,'Diabetes mellitus',MO,49,cluster4
496,Cholera,MT,18,cluster9
497,'Diabetes mellitus',AR,7,cluster4
498,'Malignant tumours',OH,491,cluster2
499,Malaria,MN,8,cluster7
500,Cholera,NC,29,cluster9
501,Cholera,OK,5,cluster9
502,'Cerebrovascular Disease',MN,8,cluster3
503,'Malignant tumours',GA,4,cluster2
504,'Influenza and pneumonia',UT,2,cluster8
505,Malaria,IL,25,cluster7
506,'Chronic lower respiratory diseases',TN,12,cluster5
507,HIV/AIDS,NC,13,cluster0
508,'Influenza and pneumonia',KS,25,cluster8
509,Tuberculosis,TN,76,cluster6
510,'Malignant tumours',NM,24,cluster2
511,'Chronic lower respiratory diseases',TN,102,cluster5
512,HIV/AIDS,KS,5,cluster0
513,HIV/AIDS,NY,34,cluster0
514,Cholera,TN,7,cluster9
515,Cholera,IA,36,cluster9
516,'Malignant tumours',SD,29,cluster2
517,'Chronic lower respiratory diseases',KS,0,cluster5
518,Tuberculosis,CA,260,cluster6
519,'Diarrheal Diseases',NE,1,cluster1
520,'Malignant tumours',PA,73,cluster2
521,'Malignant tumours',TX,36,cluster2
522,'Diabetes mellitus',AK,46,cluster4
523,'Malignant tumours',WV,3,cluster2
524,Tuberculosis,NY,72,cluster6
525,'Influenza and pneumonia',PA,37,cluster8
526,HIV/AIDS,WV,38,cluster0
527,Malaria,GA,18,cluster7
528,Tuberculosis,SC,25,cluster6
529,'Influenza and pneumonia',GA,14,cluster8
530,'Diabetes mellitus',OH,14,cluster4
531,'Influenza and pneumonia',UT,24,cluster8
532,'Malignant tumours',SC,23,cluster2
533,Malaria,NE,17,cluster7
534,'Chronic lower respiratory diseases',SC,115,cluster5
535,Tuberculosis,MN,39,cluster6
536,'Influenza and pneumonia',TX,12,cluster8
537,'Diarrheal Diseases',KS,49,cluster1
538,Cholera,ID,0,cluster9
539,Tuberculosis,NE,4,cluster6
540,'Influenza and pneumonia',GA,3,cluster8
541,Malaria,WA,36,cluster7
542,HIV/AIDS,UT,21,cluster0
543,'Chronic lower respiratory diseases',CO,0,cluster5
544,'Cerebrovascular Disease',OH,10,cluster3
545,Cholera,ID,4,cluster9
546,Malaria,GA,37,cluster7
547,HIV/AIDS,TX,5,cluster0
548,HIV/AIDS,NE,6,cluster0
549,HIV/AIDS,FL,27,cluster0
550,'Malignant tumours',TX,3,cluster2
551,'Diabetes mellitus',KS,1,cluster4
552,'Diabetes mellitus',KY,26,cluster4
553,HIV/AIDS,WI,21,cluster0
554,Tuberculosis,OR,15,cluster6
555,'Diarrheal Diseases',AR,14,cluster1
556,'Chronic lower respiratory diseases',TX,29,cluster5
557,'Chronic lower respiratory diseases',NY,335,cluster5
558,Tuberculosis,AR,8,cluster6
559,'Malignant tumours',SD,2,cluster2
560,HIV/AIDS,SD,21,cluster0
561,'Influenza and pneumonia',AL,96,cluster8
562,'Chronic lower respiratory diseases',KS,12,cluster5
563,Malaria,KY,28,cluster7
564,Tuberculosis,CO,0,cluster6
565,'Diabetes mellitus',SC,108,cluster4
566,HIV/AIDS,IN,20,cluster0
567,Tuberculosis,AL,108,cluster6
568,'Malignant tumours',KY,7,cluster2
569,Malaria,ID,7,cluster7
570,'Diarrheal Diseases',OK,9,cluster1
571,'Chronic lower respiratory diseases',IA,105,cluster5
572,'Influenza and pneumonia',MN,15,cluster8
573,Cholera,LA,4,cluster9
574,'Diabetes mellitus',AR,11,cluster4
575,HIV/AIDS,MO,19,cluster0
576,HIV/AIDS,MS,11,cluster0
577,'Diarrheal Diseases',MA,916,cluster1
578,Cholera,MT,0,cluster9
579,'Diarrheal Diseases',OK,14,cluster1
580,Malaria,TX,9,cluster7
581,'Diabetes mellitus',TX,637,cluster4
582,'Diarrheal Diseases',NE,3,cluster1
583,Tuberculosis,RI,175,cluster6
584,'Malignant tumours',ID,3,cluster2
585,HIV/AIDS,MT,2,cluster0
586,'Influenza and pneumonia',SD,2,cluster8
587,'Malignant tumours',MI,12,cluster2
588,Cholera,OH,25,cluster9
589,'Cerebrovascular Disease',KY,18,cluster3
590,Malaria,AR,69,cluster7
591,'Chronic lower respiratory diseases',PA,851,cluster5
592,HIV/AIDS,MD,115,cluster0
593,'Diabetes mellitus',PA,122,cluster4
594,'Cerebrovascular Disease',NY,30,cluster3
595,'Chronic lower respiratory diseases',WY,4,cluster5
596,HIV/AIDS,TX,23,cluster0
597,HIV/AIDS,TX,1,cluster0
598,'Diarrheal Diseases',KY,9,cluster1
599,Malaria,NJ,1012,cluster7
600,'Malignant tumours',MS,34,cluster2
601,'Diarrheal Diseases',IL,45,cluster1
602,'Chronic lower respiratory diseases',WI,87,cluster5
603,'Malignant tumours',MS,5,cluster2
604,Tuberculosis,OH,88,cluster6
605,Cholera,IA,15,cluster9
